distance	count.Inner	count.Outer	count.Right	count.Left	sum	log10count.Inner	log10count.Outer	log10count.Right	log10count.Left	log10sum	proportion.Inner	proportion.Outer	proportion.Right	proportion.Left	allpossible_sumcount	prob	log10prob
12.100	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-1.259E+12	-0.000E+00	-100.000
12.300	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-1.995E+12	-0.000E+00	-100.000
12.500	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-3.162E+12	-0.000E+00	-100.000
12.700	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-5.012E+12	-0.000E+00	-100.000
12.900	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-7.943E+12	-0.000E+00	-100.000
13.100	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-1.259E+13	-0.000E+00	-100.000
13.300	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-1.995E+13	-0.000E+00	-100.000
13.500	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-3.162E+13	-0.000E+00	-100.000
13.700	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-5.012E+13	-0.000E+00	-100.000
13.900	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-7.943E+13	-0.000E+00	-100.000
14.100	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-1.259E+14	-0.000E+00	-100.000
14.300	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-1.995E+14	-0.000E+00	-100.000
14.500	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-3.162E+14	-0.000E+00	-100.000
14.700	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-5.012E+14	-0.000E+00	-100.000
14.900	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-7.943E+14	-0.000E+00	-100.000
15.100	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-1.259E+15	-0.000E+00	-100.000
15.300	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-1.995E+15	-0.000E+00	-100.000
15.500	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-3.162E+15	-0.000E+00	-100.000
15.700	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-5.012E+15	-0.000E+00	-100.000
15.900	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-7.943E+15	-0.000E+00	-100.000
